"id","fqdn/ip","port","severity","finding","cve","cwe"
"cmdline_fast_depreciation","cardano.org/","443","WARN","'--fast' can have some undesired side effects thus it is not recommended to use anymore","",""
"service","cardano.org/75.2.60.5","443","INFO","HTTP","",""
"pre_128cipher","cardano.org/75.2.60.5","443","INFO","No 128 cipher limit bug","",""
"SSLv2","cardano.org/75.2.60.5","443","OK","not offered","",""
"SSLv3","cardano.org/75.2.60.5","443","OK","not offered","",""
"TLS1","cardano.org/75.2.60.5","443","INFO","not offered","",""
"TLS1_1","cardano.org/75.2.60.5","443","INFO","not offered","",""
"TLS1_2","cardano.org/75.2.60.5","443","OK","offered","",""
"TLS1_3","cardano.org/75.2.60.5","443","OK","offered with final","",""
"ALPN_HTTP2","cardano.org/75.2.60.5","443","OK","h2","",""
"ALPN","cardano.org/75.2.60.5","443","INFO","http/1.1","",""
"cipherlist_NULL","cardano.org/75.2.60.5","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","cardano.org/75.2.60.5","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","cardano.org/75.2.60.5","443","OK","not offered","","CWE-327"
"cipherlist_LOW","cardano.org/75.2.60.5","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","cardano.org/75.2.60.5","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","cardano.org/75.2.60.5","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","cardano.org/75.2.60.5","443","INFO","not offered","",""
"cipherlist_STRONG_FS","cardano.org/75.2.60.5","443","OK","offered","",""
"cipher_order-tls1_2","cardano.org/75.2.60.5","443","OK","server","",""
"cipherorder_TLSv1_2","cardano.org/75.2.60.5","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","cardano.org/75.2.60.5","443","OK","server -- TLS 1.3 client determined","",""
"FS","cardano.org/75.2.60.5","443","OK","offered","",""
"FS_ciphers","cardano.org/75.2.60.5","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"FS_KEMs","cardano.org/75.2.60.5","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","cardano.org/75.2.60.5","443","OK","prime256v1","",""
"TLS_extensions","cardano.org/75.2.60.5","443","INFO","'server name/#0' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","cardano.org/75.2.60.5","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","cardano.org/75.2.60.5","443","INFO","yes","",""
"sessionresumption_ticket","cardano.org/75.2.60.5","443","INFO","not supported","",""
"sessionresumption_ID","cardano.org/75.2.60.5","443","INFO","not supported","",""
"TLS_timestamp","cardano.org/75.2.60.5","443","INFO","random","",""
"certificate_compression","cardano.org/75.2.60.5","443","INFO","none","",""
"clientAuth","cardano.org/75.2.60.5","443","INFO","none","",""
"cert_numbers","cardano.org/75.2.60.5","443","INFO","1","",""
"cert_signatureAlgorithm","cardano.org/75.2.60.5","443","OK","ECDSA with SHA384","",""
"cert_keySize","cardano.org/75.2.60.5","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","cardano.org/75.2.60.5","443","INFO","Digital Signature","",""
"cert_extKeyUsage","cardano.org/75.2.60.5","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","cardano.org/75.2.60.5","443","INFO","06D2BF10E19AFEFF734FE43303913BCA7B7C","",""
"cert_serialNumberLen","cardano.org/75.2.60.5","443","INFO","18","",""
"cert_fingerprintSHA1","cardano.org/75.2.60.5","443","INFO","FB00CC78436139E427953847A1AACA1428D5F458","",""
"cert_fingerprintSHA256","cardano.org/75.2.60.5","443","INFO","0B7A3928CA623ABEF4D0845B8E76BBC15DFD5FB534C4BF1FC81E2700BF19A05E","",""
"cert","cardano.org/75.2.60.5","443","INFO","-----BEGIN CERTIFICATE-----\nMIIDljCCAx2gAwIBAgISBtK/EOGa/v9zT+QzA5E7ynt8MAoGCCqGSM49BAMDMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNZRTIwHhcNMjYwODEyMDgxMzUwWhcNMjYxMTEwMDgxMzQ5WjAWMRQwEgYDVQQDEwtjYXJkYW5vLm9yZzBZMBMGByqGSM49AgEGCCqGSM49AwEHA0IABFmRKMmiQ22Yt6aMRAmnmhDOlfafZOea2z0nLldr5jFKl9f9oNRoBiPL8jL8nNAkO4zhnRr9deFO2kggLjBRcr2jggIsMIICKDAOBgNVHQ8BAf8EBAMCB4AwEwYDVR0lBAwwCgYIKwYBBQUHAwEwDAYDVR0TAQH/BAIwADAdBgNVHQ4EFgQU1CrTrKqfexd4x+/OLgicC6dUeQgwHwYDVR0jBBgwFoAUuVnyjs8i8IbTN0j/dhQYuoLYVYcwMwYIKwYBBQUHAQEEJzAlMCMGCCsGAQUFBzAChhdodHRwOi8veWUyLmkubGVuY3Iub3JnLzAnBgNVHREEIDAeggtjYXJkYW5vLm9yZ4IPd3d3LmNhcmRhbm8ub3JnMBMGA1UdIAQMMAowCAYGZ4EMAQIBMC8GA1UdHwQoMCYwJKAioCCGHmh0dHA6Ly95ZTIuYy5sZW5jci5vcmcvMTI1LmNybDCCAQ0GCisGAQQB1nkCBAIEgf4EgfsA+QB/AEavhj07PuWfpXfeqCRdNrDZ7SKiI/Rhd0EilFLulVBfAAABn/U+eoAACAAABQASbIZ8BAMASDBGAiEAxTo22O1n5ayzHH4E0MUlJ1PkUIVtlg8Ve+d/p/I0wucCIQDwm7E5g6T7JxBkTgVbSX2enxCp08m3KNYjXXBgMv6rcwB2ANdtfRDRp/V3wsfpX9cAv/mCyTNaZeHQswFzF8DIxWl3AAABn/U+eiQAAAQDAEcwRQIgINOqLDibvzdYGFvGN2EJqp/Q4OCLifRT82U3RC0ZXf4CIQCkIpn7/UOV9aP3nBV50ZrdWgxX3BscWXFj0lKAtu7trjAKBggqhkjOPQQDAwNnADBkAjB6IRelRdiXFJmCnyQutAb6k7pF8kT/B9YL5zFTdmH7m2xd1FAzQynpLdsmWBPbM+kCMFqS5Yaw1le+fc4JF6RWSjGpHU44R/dWR7UbOW64kgjn5tGs4Cfjuwux/8y5nnEHoA==\n-----END CERTIFICATE-----","",""
"cert_commonName","cardano.org/75.2.60.5","443","OK","cardano.org","",""
"cert_commonName_wo_SNI","cardano.org/75.2.60.5","443","INFO","*.netlify.app","",""
"cert_subjectAltName","cardano.org/75.2.60.5","443","INFO","cardano.org www.cardano.org","",""
"cert_trust","cardano.org/75.2.60.5","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_trust_wildcard","cardano.org/75.2.60.5","443","LOW","trust is via wildcard","",""
"cert_chain_of_trust","cardano.org/75.2.60.5","443","OK","passed.","",""
"cert_certificatePolicies_EV","cardano.org/75.2.60.5","443","INFO","no","",""
"cert_expirationStatus","cardano.org/75.2.60.5","443","OK","51 >= 30 days","",""
"cert_notBefore","cardano.org/75.2.60.5","443","INFO","2026-08-12 08:13","",""
"cert_notAfter","cardano.org/75.2.60.5","443","OK","2026-11-10 08:13","",""
